title,firstname,middlename,lastname,name_suffix,nickname,bioguide_id,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,house vote on healthcare
Rep,Robert,B.,Aderholt,,,A000055,R,AL,4,1,M,202-225-4876,202-225-5587,https://aderholt.house.gov,,235 Cannon House Office Building,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,RobertAderholt,,,1965-07-22,Rep.Aderholt@opencongress.org,yes
Rep,W.,Todd,Akin,,,A000358,R,MO,2,0,M,202-225-2561,202-225-2563,http://akin.house.gov,http://akin.house.gov/email.shtml,117 Cannon House Office Building,9301,H0MO02148,400005,N00009677,,http://www.opencongress.org/wiki/W._Todd_Akin,,,,,1947-07-05,,yes
Rep,Rodney,M.,Alexander,,,A000361,R,LA,5,0,M,202-225-8490,202-225-5639,http://alexander.house.gov,https://alexander.house.gov/email-me,316 Cannon House Office Building,4545,H2LA05084,400006,N00025464,,http://www.opencongress.org/wiki/Rodney_Alexander,,,,,1946-12-05,,yes
Rep,Steve,,Austria,,,A000365,R,OH,7,0,M,202-225-4324,202-225-1984,http://austria.house.gov,https://forms.house.gov/austria/contact-form.shtml,439 Cannon House Office Building,23398,H8OH07065,412265,N00029412,,http://www.opencongress.org/wiki/Steven_Austria,,,,,1958-10-12,,yes
Rep,Sandy,,Adams,,,A000366,R,FL,24,0,F,202-225-2706,202-226-6299,http://adams.house.gov/,,216 Cannon House Office Building,31041,H0FL24049,412414,N00030926,,http://www.opencongress.org/wiki/Sandy_Adams,,,,,1956-12-14,,yes
Rep,Justin,,Amash,,,A000367,R,MI,3,1,M,202-225-3831,202-225-5144,http://amash.house.gov,,114 Cannon House Office Building,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,repjustinamash,,,1980-04-18,Rep.Amash@opencongress.org,yes
Rep,Mark,E.,Amodei,,,A000369,R,NV,2,1,M,202-225-6155,202-225-5679,https://amodei.house.gov,,332 Cannon House Office Building,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,MarkAmodeiNV2,,,1958-06-12,Rep.Amodei@opencongress.org,yes
Rep,Rick,,Allen,,,A000372,R,GA,12,1,M,202-225-2823,202-225-3377,http://allen.house.gov,,426 Cannon House Office Building,136062,H2GA12121,412625,N00033720,reprickallen,,,CongressmanRickAllen,,,1951-11-07,Rep.Allen@opencongress.org,yes
Rep,Ralph,,Abraham,,,A000374,R,LA,5,1,M,202-225-8490,202-225-5639,https://abraham.house.gov,,417 Cannon House Office Building,155414,H4LA05221,412630,N00036633,RepAbraham,,,CongressmanRalphAbraham,,,1954-09-16,Rep.Abraham@opencongress.org,yes
Rep,Jodey,,Arrington,,,A000375,R,TX,19,1,M,202-225-4005,,https://arrington.house.gov,,1029 Longworth House Office Building,155685,H6TX19099,412726,N00038285,RepArrington,,,JodeyArrington,,,1972-03-09,Rep.Arrington@opencongress.org,yes
Rep,Spencer,Thomas,Bachus,III,,B000013,R,AL,6,0,M,202-225-4921,202-225-2082,http://bachus.house.gov,https://bachus.house.gov/email-me,2246 Rayburn House Office Building,26715,H2AL06035,400010,N00008091,,http://www.opencongress.org/wiki/Spencer_Bachus,,,,,1947-12-28,,yes
Rep,Richard,Hugh,Baker,,,B000072,R,LA,6,0,M,,,http://baker.house.gov,,,26882,H6LA06083,400012,N00005407,,http://www.opencongress.org/wiki/Richard_Baker,,,,,1948-05-22,,yes
Rep,Roscoe,G.,Bartlett,,,B000208,R,MD,6,0,M,202-225-2721,202-225-2193,http://bartlett.house.gov,http://www.bartlett.house.gov/Email_Roscoe/,2412 Rayburn House Office Building,26891,H2MD06054,400017,N00002017,,http://www.opencongress.org/wiki/Roscoe_Bartlett,,,,,1926-06-03,,yes
Rep,Joe,Linus,Barton,,,B000213,R,TX,6,1,M,202-225-2002,202-225-3052,https://joebarton.house.gov,,2107 Rayburn House Office Building,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,RepJoeBarton,,,1949-09-15,Rep.Joebarton@opencongress.org,yes
Rep,Charles,F.,Bass,,Charlie,B000220,R,NH,2,0,M,202-225-5206,202-225-2946,http://bass.house.gov/,,2350 Rayburn House Office Building,22216,H0NH02017,400019,N00000423,,http://www.opencongress.org/wiki/Charlie_Bass,,,,,1952-01-08,,yes
Rep,Brian,P.,Bilbray,,,B000461,R,CA,50,0,M,202-225-0508,202-225-2558,http://www.house.gov/bilbray,http://www.house.gov/bilbray/contact.shtml,2410 Rayburn House Office Building,21916,H4CA49032,400570,N00006981,,http://www.opencongress.org/wiki/Brian_Bilbray,,,,,1951-01-28,,yes
Rep,John,A.,Boehner,,,B000589,R,OH,8,0,M,202-225-6205,202-225-0704,http://johnboehner.house.gov,http://boehner.house.gov/contact/,1011 Longworth House Office Building,27015,H0OH08029,400036,N00003675,,http://www.opencongress.org/wiki/John_Boehner,,,,,1949-11-17,,yes
Rep,Kevin,P.,Brady,,,B000755,R,TX,8,1,M,202-225-4901,202-225-5524,http://kevinbrady.house.gov,,1011 Longworth House Office Building,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,kevinbrady,,,1955-04-11,Rep.Kevinbrady@opencongress.org,yes
Rep,Dan,L.,Burton,,,B001149,R,IN,5,0,M,202-225-2276,202-225-0016,http://burton.house.gov,http://burton.house.gov/contacts/new,2308 Rayburn House Office Building,26855,H2IN06023,400055,N00000010,,http://www.opencongress.org/wiki/Dan_Burton,,,,,1938-06-21,,yes
Rep,Stephen,E.,Buyer,,Steve,B001203,R,IN,4,0,M,,,http://stevebuyer.house.gov,,,26854,H2IN05025,400056,N00003924,,http://www.opencongress.org/wiki/Stephen_Buyer,,,,,1958-11-26,,yes
Rep,Mary,Whitaker,Bono Mack,,,B001228,R,CA,45,0,F,202-225-5330,202-225-2961,http://bono.house.gov,http://www.house.gov/formbono/issue.htm,104 Cannon House Office Building,1434,H8CA44034,400039,N00007068,,http://www.opencongress.org/wiki/Mary_Bono_Mack,,,,,1961-10-24,,yes
Rep,Judy,,Biggert,,,B001232,R,IL,13,0,F,202-225-3515,202-225-9420,http://judybiggert.house.gov,http://judybiggert.house.gov/ContactJudy.aspx,2113 Rayburn House Office Building,6298,H8IL13069,400027,N00004762,,http://www.opencongress.org/wiki/Judy_Biggert,,,,,1937-08-15,,yes
Rep,Henry,E.,Brown,Jr.,,B001235,R,SC,1,0,M,,,http://brown.house.gov,,,3993,H0SC01071,400049,N00002428,,http://www.opencongress.org/wiki/Henry_Brown,,,,,1935-12-20,,yes
Rep,James,Gresham,Barrett,,J. Gresham,B001239,R,SC,3,0,M,,,http://www.house.gov/barrett,,,14577,H2SC03057,400016,N00013837,,http://www.opencongress.org/wiki/J._Gresham_Barrett,,,,,1961-02-14,,yes
Rep,Marsha,W.,Blackburn,,,B001243,R,TN,7,1,F,202-225-2811,202-225-3004,http://blackburn.house.gov,,2266 Rayburn House Office Building,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,marshablackburn,,,1952-06-06,Rep.Blackburn@opencongress.org,yes
Rep,Jo,,Bonner,,,B001244,R,AL,1,0,M,202-225-4931,202-225-0562,http://bonner.house.gov,https://forms.house.gov/bonner/webforms/issue_subscribe.html,2236 Rayburn House Office Building,27522,H2AL01077,400038,N00025330,,http://www.opencongress.org/wiki/Josiah_Bonner,,,,,1959-11-19,,yes
Rep,Virginia,,Brown-Waite,,Ginny,B001247,R,FL,5,0,F,,,http://www.house.gov/brown-waite,,,8077,H2FL05127,400051,N00024777,,http://www.opencongress.org/wiki/Virginia_Brown-Waite,,,,,1943-10-05,,yes
Rep,Michael,C.,Burgess,,,B001248,R,TX,26,1,M,202-225-7772,202-225-2919,http://burgess.house.gov,,2336 Rayburn House Office Building,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,michaelcburgess,,,1950-12-23,Rep.Burgess@opencongress.org,yes
Rep,Rob,,Bishop,,,B001250,R,UT,1,1,M,202-225-0453,202-225-5857,http://robbishop.house.gov,,123 Cannon House Office Building,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,1951-07-13,Rep.Robbishop@opencongress.org,yes
Rep,Charles,W.,Boustany,Jr.,,B001255,R,LA,3,0,M,202-225-2031,202-225-5724,http://boustany.house.gov,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,35514,H4LA07029,400636,N00026595,,http://www.opencongress.org/wiki/Charles_Boustany,,,,,1956-02-21,,yes
Rep,Michele,Marie,Bachmann,,,B001256,R,MN,6,0,F,202-225-2331,202-225-6475,http://bachmann.house.gov,https://bachmann.house.gov/contact/email-michele,2417 Rayburn House Office Building,54675,H6MN06074,412216,N00027493,,http://www.opencongress.org/wiki/Michele_Bachmann,,,,,1956-04-06,,yes
Rep,Gus,M.,Bilirakis,,,B001257,R,FL,12,1,M,202-225-5755,202-225-4085,https://bilirakis.house.gov,,2112 Rayburn House Office Building,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,http://youtube.com/RepGusBilirakis,GusBilirakis,,,1963-02-08,Rep.Bilirakis@opencongress.org,yes
Rep,Vern,,Buchanan,,,B001260,R,FL,16,1,M,202-225-5015,202-226-0828,https://buchanan.house.gov,,2104 Rayburn House Office Building,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,http://youtube.com/vernbuchanan,CongressmanBuchanan,,,1951-05-08,Rep.Buchanan@opencongress.org,yes
Rep,Paul,C.,Broun,Jr.,,B001262,R,GA,10,0,M,202-225-4101,202-226-0776,http://broun.house.gov,https://broun.house.gov/forms/writeyourrep/,2437 Rayburn House Office Building,70001,H8GA10049,412252,N00028986,,http://www.opencongress.org/wiki/Paul_Broun,,,,,1946-05-14,,yes
Rep,Lou,,Barletta,,,B001269,R,PA,11,1,M,202-225-6511,202-225-0764,http://barletta.house.gov,,2049 Rayburn House Office Building,47143,H2PA11098,412469,N00025495,RepLouBarletta,http://www.opencongress.org/wiki/Lou_Barletta,http://youtube.com/reploubarletta,CongressmanLouBarletta,,,1956-01-28,Rep.Barletta@opencongress.org,yes
Rep,Dan,,Benishek,,,B001271,R,MI,1,0,M,202-225-4735,202- 225-4744,http://benishek.house.gov,https://benishek.house.gov/contact-me/email-me,514 Cannon House Office Building,123056,H0MI01088,412436,N00031934,,http://www.opencongress.org/wiki/Dan_Benishek,,,,,1952-04-20,,yes
Rep,Rick,,Berg,,,B001272,R,ND,0,0,M,202-225-2611,202-226-0893,http://berg.house.gov/,,323 Cannon House Office Building,7693,H0ND00135,412458,N00031629,,http://www.opencongress.org/wiki/Rick_Berg,,,,,1959-08-16,,yes
Rep,Diane,,Black,,,B001273,R,TN,6,1,F,202-225-4231,202-225-6887,http://black.house.gov,,1131 Longworth House Office Building,25292,H0TN06257,412478,N00031539,RepDianeBlack,http://www.opencongress.org/wiki/Diane_Black,http://youtube.com/RepDianeBlack,DianeBlackTN06,,,1951-01-16,Rep.Black@opencongress.org,yes
Rep,Mo,,Brooks,,,B001274,R,AL,5,1,M,202-225-4801,202-225-4392,https://brooks.house.gov,,2400 Rayburn House Office Building,121610,H0AL05163,412395,N00030910,RepMoBrooks,http://www.opencongress.org/wiki/Mo_Brooks,http://youtube.com/RepMoBrooks,RepMoBrooks,,,1954-04-29,Rep.Brooks@opencongress.org,yes
Rep,Larry,,Bucshon,,,B001275,R,IN,8,1,M,202-225-4636,202-225-3284,https://bucshon.house.gov,,1005 Longworth House Office Building,120335,H0IN08114,412427,N00031227,RepLarryBucshon,http://www.opencongress.org/wiki/Larry_Bucshon,http://youtube.com/RepLarryBucshon,RepLarryBucshon,,,1962-05-31,Rep.Bucshon@opencongress.org,yes
Rep,Ann Marie,,Buerkle,,,B001276,R,NY,25,0,F,202-225-3701,202-225-4042,http://buerkle.house.gov/,,1630 Longworth House Office Building,127047,H0NY25078,412456,N00031640,,http://www.opencongress.org/wiki/Ann_Marie_Buerkle,,,,,1951-05-08,,yes
Rep,Garland,,Barr,,Andy,B001282,R,KY,6,1,M,202-225-4706,,https://barr.house.gov,,1427 Longworth House Office Building,117290,H0KY06104,412541,N00031233,RepAndyBarr,,http://youtube.com/RepAndyBarr,RepAndyBarr,,,1973-07-24,Rep.Barr@opencongress.org,yes
Rep,Jim,,Bridenstine,,,B001283,R,OK,1,1,M,202-225-2211,918-935-2716,http://bridenstine.house.gov,,216 Cannon House Office Building,135894,H2OK01143,412567,N00033532,RepJBridenstine,,http://youtube.com/RepJimBridenstine,CongressmanJimBridenstine,,,1975-06-15,Rep.Bridenstine@opencongress.org,yes
Rep,Susan,W.,Brooks,,,B001284,R,IN,5,1,F,202-225-2276,202-225-0016,http://susanwbrooks.house.gov,,1030 Longworth House Office Building,135988,H2IN05082,412539,N00033495,SusanWBrooks,,http://youtube.com/SusanWBrooks,congresswomansusanwbrooks,,,1960-08-25,Rep.Susanwbrooks@opencongress.org,yes
Rep,Bradley,,Byrne,,,B001289,R,AL,1,1,M,202-225-4931,202-225-0562,https://byrne.house.gov,,119 Cannon House Office Building,27584,H4AL01123,412601,N00035380,RepByrne,,,RepByrne,,,1955-02-16,Rep.Byrne@opencongress.org,yes
Rep,David,Alan,Brat,,Dave,B001290,R,VA,7,1,M,202-225-2815,,http://brat.house.gov,,1628 Longworth House Office Building,152270,H4VA07143,412605,N00036013,RepDaveBrat,,,RepDaveBrat,,,1964-07-27,Rep.Brat@opencongress.org,yes
Rep,Brian,,Babin,,,B001291,R,TX,36,1,M,202-225-1555,202-226-0396,http://babin.house.gov,,316 Cannon House Office Building,360,H6TX02079,412655,N00005736,RepBrianBabin,,,RepBrianBabin,,,1948-03-23,Rep.Babin@opencongress.org,yes
Rep,Mike,,Bishop,,,B001293,R,MI,8,1,M,202-225-4872,202-225-5820,https://mikebishop.house.gov,,428 Cannon House Office Building,20157,H4MI08135,412635,N00036449,RepMikeBishop,,,RepMikeBishop,,,1967-03-18,Rep.Mikebishop@opencongress.org,yes
Rep,Rod,,Blum,,,B001294,R,IA,1,1,M,202-225-2911,,https://blum.house.gov,,1108 Longworth House Office Building,,H2IA01055,412627,N00033744,RepRodBlum,,,congressmanrodblum,,,1955-04-26,Rep.Blum@opencongress.org,yes
Rep,Mike,,Bost,,,B001295,R,IL,12,1,M,202-225-5661,202-225-0285,https://bost.house.gov,,1440 Longworth House Office Building,,H4IL12060,412629,N00035420,RepBost,,,RepBost,,,1960-12-30,Rep.Bost@opencongress.org,yes
Rep,Ken,,Buck,,,B001297,R,CO,4,1,M,202-225-4676,202-225-5870,https://buck.house.gov,,1130 Longworth House Office Building,125319,S0CO00237,412619,N00030829,RepKenBuck,,,repkenbuck,,,1959-02-16,Rep.Buck@opencongress.org,yes
Rep,Don,,Bacon,,,B001298,R,NE,2,1,M,202-225-4155,,https://bacon.house.gov,,1516 Longworth House Office Building,166299,H6NE02125,412713,N00037049,repdonbacon,,,RepDonBacon,,,1963-08-16,Rep.Bacon@opencongress.org,yes
Rep,Jim,,Banks,,,B001299,R,IN,3,1,M,202-225-4436,,https://banks.house.gov,,509 Cannon House Office Building,116801,H6IN03229,412702,N00037185,RepJimBanks,,,RepJimBanks,,,1979-07-16,Rep.Banks@opencongress.org,yes
Rep,Jack,,Bergman,,,B001301,R,MI,1,1,M,202-225-4735,,https://bergman.house.gov,,414 Cannon House Office Building,170172,H6MI01226,412709,N00039533,RepJackBergman,,http://youtube.com/RepJackBergman,RepJackBergman,,,1947-02-02,Rep.Bergman@opencongress.org,yes
Rep,Ted,,Budd,,,B001305,R,NC,13,1,M,202-225-4531,,https://budd.house.gov,,118 Cannon House Office Building,171489,H6NC13129,412712,N00039551,RepTedBudd,,,RepTedBudd,,,1971-10-21,Rep.Budd@opencongress.org,yes
Rep,Ken,S.,Calvert,,,C000059,R,CA,42,1,M,202-225-1986,202-225-2004,http://calvert.house.gov,,2205 Rayburn House Office Building,26777,H2CA37023,400057,N00007099,KenCalvert,http://www.opencongress.org/wiki/Ken_Calvert,http://youtube.com/RepKenCalvert,70063393423,,,1953-06-08,Rep.Calvert@opencongress.org,yes
Rep,Dave,Lee,Camp,,,C000071,R,MI,4,0,M,202-225-3561,202-225-9679,http://camp.house.gov,http://camp.house.gov/contact/,341 Cannon House Office Building,26911,H0MI10071,400058,N00008086,,http://www.opencongress.org/wiki/David_Lee_Camp,,,,,1953-07-09,,yes
Rep,Christopher,B.,Cannon,,Chris,C000116,R,UT,3,0,M,,,http://chriscannon.house.gov,,,393,H6UT03042,400059,N00006349,,http://www.opencongress.org/wiki/Chris_Cannon,,,,,1950-10-20,,yes
Rep,Michael,N.,Castle,,,C000243,R,DE,0,0,M,,,http://www.house.gov/castle,,,26792,H2DE00072,400070,N00009775,,http://www.opencongress.org/wiki/Michael_Castle,,,,,1939-07-02,,yes
Rep,Steve,J.,Chabot,,,C000266,R,OH,1,1,M,202-225-2216,202-225-3012,http://chabot.house.gov,,2371 Rayburn House Office Building,21790,H8OH01043,400071,N00003689,RepSteveChabot,http://www.opencongress.org/wiki/Steven_Chabot,http://youtube.com/congressmanchabot,RepSteveChabot,,,1953-01-22,Rep.Chabot@opencongress.org,yes
Rep,Howard,,Coble,,,C000556,R,NC,6,0,M,202-225-3065,202-225-8611,http://coble.house.gov,http://coble.house.gov/contact/zipcheck.htm,2188 Rayburn House Office Building,27001,H4NC06011,400076,N00002247,,http://www.opencongress.org/wiki/John_Coble,,,,,1931-03-18,,yes
Rep,Barbara,L.,Cubin,,,C000962,R,WY,0,0,F,,,http://www.house.gov/cubin,,,22044,H4WY00055,400088,N00006242,,http://www.opencongress.org/wiki/Barbara_Cubin,,,,,1946-11-30,,yes
Rep,Ander,,Crenshaw,,,C001045,R,FL,4,0,M,202-225-2501,202-225-2504,https://crenshaw.house.gov,https://forms.house.gov/write/crenshaw/email-me.shtml,2161 Rayburn House Office Building,31130,H0FL04066,400086,N00012739,,http://www.opencongress.org/wiki/Ander_Crenshaw,,,,,1944-09-01,,yes
Rep,Eric,I.,Cantor,,,C001046,R,VA,7,0,M,202-225-2815,202-225-0011,http://cantor.house.gov,http://form-cantor.house.gov/index.php,303 Cannon House Office Building,5121,H0VA07042,400060,N00013131,,http://www.opencongress.org/wiki/Eric_Cantor,,,,,1963-06-06,,yes
